iter	RMSE
0	2.420826119
1	2.413143984
2	2.405048615
3	2.397760207
4	2.390196131
5	2.382961813
6	2.375724109
7	2.36876991
8	2.36097854
9	2.354219923
10	2.34724161
11	2.340447116
12	2.33383027
13	2.32755223
14	2.32127473
15	2.315894295
16	2.309210527
17	2.302947067
18	2.296613708
19	2.290861086
20	2.28526073
21	2.279571907
22	2.273688488
23	2.268218472
24	2.262421313
25	2.257161683
26	2.252356088
27	2.247402576
28	2.242722841
29	2.237168573
30	2.231876448
31	2.227164578
32	2.22265488
33	2.217987246
34	2.213413516
35	2.208788095
36	2.204652691
37	2.200042413
38	2.195843654
39	2.191446884
40	2.187626605
41	2.183996987
42	2.180301418
43	2.176379491
44	2.172375394
45	2.168758352
46	2.164651711
47	2.160881263
48	2.157009474
49	2.153595954
50	2.149879098
51	2.14619961
52	2.142708473
53	2.139129137
54	2.135726625
55	2.132385504
56	2.128906371
57	2.125768602
58	2.122588992
59	2.119463279
60	2.11599468
61	2.112942132
62	2.109684157
63	2.106619938
64	2.103782663
65	2.100579568
66	2.097814557
67	2.094920567
68	2.092530513
69	2.090125969
70	2.08790981
71	2.08532747
72	2.083206983
73	2.080870298
74	2.078335215
75	2.075725686
76	2.07364335
77	2.071288134
78	2.069287265
79	2.066955216
80	2.064602417
81	2.062217386
82	2.05974708
83	2.057539317
84	2.05529179
85	2.052929169
86	2.050807023
87	2.048717564
88	2.046561281
89	2.044200564
90	2.042093546
91	2.039932074
92	2.03816195
93	2.036077659
94	2.034325512
95	2.032385917
96	2.030874741
97	2.029246882
98	2.027374084
99	2.025271575
100	2.023512026
101	2.021638554
102	2.019644857
103	2.01793285
104	2.016257753
105	2.014649036
106	2.013284909
107	2.011902627
108	2.010007735
109	2.008667047
110	2.007281653
111	2.005305966
112	2.003709945
113	2.002194336
114	2.000900743
115	1.999628861
116	1.998566627
117	1.99717623
118	1.995926261
119	1.994655525
120	1.993207831
121	1.991824385
122	1.990696719
123	1.989533047
124	1.988287168
125	1.986724896
126	1.985689273
127	1.984582695
128	1.983165295
129	1.981974325
130	1.980996437
131	1.979841432
132	1.97898527
133	1.977460426
134	1.976076885
135	1.975089882
136	1.974024173
137	1.972963628
138	1.971964771
139	1.970575517
140	1.969622564
141	1.968120278
142	1.966752425
143	1.96574015
144	1.964774787
145	1.963566212
146	1.962266403
147	1.961173774
148	1.959954612
149	1.959038384
150	1.957938172
151	1.956618253
152	1.955293987
153	1.954113544
154	1.953076311
155	1.952008302
156	1.950659357
157	1.949594556
158	1.948678015
159	1.947937551
160	1.94699452
161	1.945781998
162	1.94466157
163	1.943446037
164	1.942600722
165	1.941854294
166	1.940897753
167	1.939941429
168	1.938832023
169	1.937736056
170	1.936773098
171	1.935715236
172	1.934851929
173	1.933956683
174	1.933272442
175	1.932535504
176	1.931780872
177	1.930723742
178	1.930122208
179	1.928988813
180	1.928138219
181	1.92746691
182	1.926564432
183	1.925216858
184	1.924623022
185	1.923563878
186	1.92252479
187	1.921383804
188	1.920382793
189	1.919801528
190	1.919278824
191	1.918486091
192	1.917373548
193	1.916752104
194	1.915881551
195	1.915068451
196	1.914505816
197	1.914036609
198	1.912998488
199	1.912341246
200	1.911271124
201	1.910544236
202	1.909760715
203	1.908668762
204	1.907814011
205	1.906898105
206	1.906251048
207	1.905591675
208	1.905068829
209	1.904026322
210	1.903282097
211	1.902652879
212	1.901847193
213	1.90090519
214	1.899894482
215	1.898989292
216	1.898465771
217	1.897636091
218	1.896978112
219	1.896069101
220	1.895356057
221	1.895072332
222	1.894514393
223	1.893468311
224	1.892387101
225	1.891110044
226	1.890498719
227	1.889666807
228	1.88903523
229	1.888276084
230	1.887537758
231	1.886969991
232	1.886228444
233	1.885158432
234	1.884439275
235	1.883688676
236	1.882820402
237	1.882164549
238	1.881632809
239	1.880913491
240	1.880215521
241	1.879391637
242	1.878896738
243	1.878250041
244	1.877340353
245	1.876456618
246	1.875671866
247	1.874911441
248	1.874392062
249	1.8737902
250	1.873147789
251	1.872444704
252	1.871749451
253	1.870759366
254	1.869860882
255	1.869405298
256	1.869013848
257	1.868272197
258	1.867623492
259	1.867027522
260	1.866693579
261	1.86543811
262	1.864433757
263	1.863680067
264	1.863279536
265	1.862815797
266	1.862014412
267	1.861482293
268	1.860958651
269	1.860152552
270	1.859660642
271	1.859115372
272	1.85837483
273	1.857691633
274	1.857050046
275	1.856294722
276	1.855340358
277	1.854568809
278	1.853818834
279	1.853371159
280	1.852726047
281	1.85206326
282	1.851191328
283	1.850770734
284	1.850129193
285	1.849382447
286	1.848658362
287	1.848100982
288	1.847182872
289	1.846657148
290	1.846228856
291	1.845491523
292	1.84483882
293	1.843919717
294	1.84360011
295	1.843138618
296	1.842461056
297	1.841836018
298	1.841101772
299	1.84046993
300	1.839846383
301	1.83916906
302	1.838478736
303	1.837702212
304	1.83719709
305	1.836639502
306	1.835831406
307	1.835454649
308	1.834996101
309	1.834476086
310	1.833822927
311	1.833249369
312	1.832489999
313	1.831766073
314	1.83133476
315	1.830784403
316	1.83007179
317	1.829662424
318	1.828964161
319	1.828339602
320	1.827849861
321	1.827419816
322	1.826618182
323	1.825944853
324	1.825341411
325	1.824431637
326	1.823658951
327	1.822857798
328	1.822411446
329	1.821823636
330	1.82106754
331	1.820538383
332	1.819885084
333	1.819203408
334	1.818798709
335	1.818438875
336	1.818082381
337	1.817524363
338	1.816679543
339	1.816271714
340	1.815877737
341	1.81551726
342	1.815104426
343	1.814451817
344	1.81389898
345	1.813563955
346	1.812944906
347	1.812331494
348	1.811486672
349	1.811189322
350	1.810676737
351	1.810210112
352	1.809804251
353	1.809513964
354	1.809129433
355	1.808697432
356	1.808053245
357	1.807695608
358	1.8070166
359	1.80660594
360	1.806266969
361	1.805893959
362	1.805420656
363	1.805084752
364	1.804495933
365	1.804153773
366	1.803671061
367	1.803389975
368	1.802908506
369	1.802479722
370	1.801815969
371	1.801162394
372	1.800208984
373	1.80000423
374	1.799025795
375	1.798481776
376	1.798069295
377	1.797617707
378	1.797237731
379	1.796644065
380	1.796012974
381	1.795457756
382	1.794927568
383	1.794329604
384	1.793819403
385	1.793387412
386	1.79292284
387	1.79249208
388	1.791918864
389	1.791655842
390	1.791338716
391	1.790972059
392	1.790164413
393	1.789671453
394	1.789293594
395	1.788760789
396	1.78812944
397	1.787498831
398	1.7870417
399	1.786597357
400	1.786336421
401	1.785959399
402	1.785554509
403	1.785109326
404	1.784169517
405	1.783689007
406	1.783085117
407	1.782526353
408	1.782023786
409	1.781293684
410	1.780695134
411	1.780173641
412	1.779389619
413	1.778975346
414	1.778656008
415	1.777930933
416	1.777240856
417	1.776737475
418	1.7761855
419	1.775619383
420	1.774964426
421	1.77455323
422	1.773931825
423	1.773604444
424	1.773013078
425	1.772688102
426	1.772088317
427	1.771418109
428	1.770562115
429	1.769904557
430	1.769473123
431	1.768937014
432	1.768406561
433	1.767616978
434	1.767121239
435	1.766717649
436	1.766341886
437	1.765912906
438	1.765181067
439	1.764925666
440	1.764634017
441	1.764272852
442	1.764065886
443	1.763764854
444	1.762957247
445	1.76264901
446	1.761930966
447	1.761261784
448	1.760717711
449	1.760387607
450	1.759885074
451	1.759451105
452	1.759263827
453	1.75875515
454	1.758430144
455	1.757972948
456	1.757707014
457	1.757168753
458	1.75691086
459	1.756549577
460	1.755980538
461	1.755406307
462	1.754715817
463	1.754053364
464	1.753797833
465	1.753561613
466	1.753108353
467	1.752696647
468	1.752447333
469	1.752326069
470	1.751878344
471	1.751476045
472	1.750945361
473	1.750684255
474	1.750185268
475	1.750023101
476	1.749438248
477	1.749070253
478	1.748408907
479	1.747968253
480	1.747415264
481	1.74687462
482	1.746421228
483	1.745859258
484	1.745387604
485	1.745001879
486	1.744184803
487	1.74359272
488	1.743081236
489	1.7427255
490	1.742160234
491	1.741566472
492	1.741110246
493	1.740847011
494	1.740695861
495	1.740356466
496	1.739884665
497	1.739367893
498	1.73875938
499	1.738521465
500	1.738363484
501	1.737981937
502	1.737407814
503	1.736953073
504	1.736704138
505	1.736331642
506	1.735807354
507	1.735408477
508	1.734879798
509	1.734391229
510	1.734059914
511	1.733773652
512	1.733307438
513	1.732762499
514	1.732462601
515	1.731829159
516	1.731692528
517	1.7312959
518	1.730893348
519	1.730604274
520	1.73030712
521	1.730088185
522	1.729877476
523	1.729334788
524	1.7291953
525	1.728974016
526	1.728508918
527	1.728133392
528	1.728034186
529	1.727730247
530	1.727483753
531	1.727129048
532	1.726916753
533	1.726144238
534	1.725876758
535	1.725477712
536	1.725083886
537	1.724699048
538	1.724245978
539	1.723796067
540	1.723295298
541	1.722854501
542	1.722295029
543	1.721714526
544	1.721247485
545	1.72081487
546	1.720330543
547	1.71997955
548	1.719707295
549	1.718747476
550	1.718158512
551	1.717535456
552	1.717170791
553	1.716639983
554	1.716306664
555	1.715883515
556	1.715430157
557	1.715235103
558	1.714666825
559	1.714153468
560	1.713883932
561	1.713466035
562	1.713053219
563	1.712697592
564	1.712447732
565	1.712284073
566	1.711853302
567	1.711415375
568	1.711041782
569	1.710565767
570	1.710203398
571	1.709807076
572	1.709369264
573	1.708893905
574	1.708043016
575	1.707580911
576	1.707065354
577	1.706819362
578	1.706404609
579	1.705777794
580	1.705303402
581	1.704970282
582	1.704192045
583	1.704011926
584	1.703517826
585	1.703309553
586	1.703052995
587	1.702826931
588	1.702700918
589	1.702360108
590	1.701684284
591	1.700860617
592	1.70064236
593	1.700076269
594	1.699503148
595	1.699237933
596	1.699019343
597	1.698644376
598	1.698454986
599	1.69803791
