iter	Passed	Remaining
0	2	1591
1	4	1481
2	7	1420
3	9	1383
4	11	1342
5	13	1326
6	15	1330
7	18	1368
8	20	1354
9	22	1339
10	24	1319
11	26	1322
12	29	1310
13	31	1300
14	33	1316
15	35	1306
16	37	1301
17	40	1304
18	42	1297
19	44	1287
20	46	1289
21	49	1297
22	51	1295
23	54	1303
24	56	1299
25	58	1293
26	61	1296
27	63	1295
28	65	1297
29	68	1294
30	70	1290
31	72	1285
32	74	1284
33	76	1280
34	79	1281
35	81	1284
36	84	1281
37	86	1280
38	88	1272
39	90	1264
40	92	1256
41	94	1257
42	97	1257
43	99	1251
44	101	1251
45	103	1245
46	105	1238
47	107	1233
48	109	1228
49	111	1226
50	114	1229
51	116	1225
52	118	1220
53	120	1213
54	121	1208
55	123	1202
56	125	1197
57	128	1201
58	131	1201
59	132	1195
60	134	1191
61	136	1186
62	138	1180
63	140	1175
64	142	1174
65	145	1177
66	147	1172
67	149	1169
68	151	1165
69	153	1160
70	155	1156
71	156	1148
72	158	1144
73	161	1144
74	163	1142
75	165	1138
76	166	1133
77	168	1130
78	170	1127
79	172	1123
80	174	1120
81	177	1120
82	179	1117
83	181	1112
84	183	1109
85	185	1106
86	187	1103
87	189	1099
88	191	1098
89	193	1098
90	196	1096
91	197	1092
92	199	1088
93	201	1085
94	203	1082
95	205	1078
96	207	1076
97	209	1074
98	211	1071
99	213	1068
100	215	1064
101	217	1061
102	219	1057
103	221	1054
104	223	1053
105	225	1052
106	227	1049
107	230	1048
108	232	1045
109	233	1041
110	235	1039
111	238	1038
112	240	1037
113	242	1034
114	244	1032
115	246	1028
116	248	1024
117	250	1023
118	252	1020
119	254	1017
120	256	1016
121	259	1015
122	260	1012
123	262	1008
124	264	1006
125	267	1004
126	268	1001
127	270	999
128	273	997
129	275	995
130	277	992
131	279	990
132	281	987
133	283	984
134	285	982
135	287	981
136	289	979
137	292	978
138	294	975
139	296	973
140	298	971
141	300	968
142	302	965
143	304	963
144	306	962
145	308	959
146	310	956
147	312	954
148	314	952
149	316	949
150	318	946
151	320	945
152	322	943
153	324	940
154	327	939
155	329	937
156	331	934
157	333	932
158	336	933
159	338	931
160	341	930
161	343	928
162	345	925
163	347	924
164	350	923
165	353	924
166	356	923
167	358	921
168	360	920
169	363	918
170	365	916
171	369	918
172	371	916
173	373	914
174	375	912
175	378	910
176	380	908
177	382	906
178	385	905
179	387	903
180	389	900
181	391	898
182	393	896
183	395	894
184	397	892
185	401	892
186	403	891
187	405	889
188	408	887
189	410	884
190	411	881
191	413	879
192	416	877
193	418	875
194	420	873
195	422	870
196	424	868
197	426	865
198	428	863
199	430	861
200	432	859
201	435	857
202	437	854
203	438	852
204	441	850
205	443	847
206	444	844
207	447	842
208	449	841
209	451	838
210	453	835
211	455	833
212	457	830
213	459	828
214	460	825
215	463	824
216	465	822
217	467	819
218	469	817
219	471	814
220	473	811
221	475	809
222	477	807
223	479	805
224	481	802
225	483	800
226	485	797
227	487	795
228	489	793
229	491	790
230	493	788
231	496	787
232	498	784
233	500	782
234	502	779
235	503	777
236	505	774
237	507	772
238	510	770
239	512	769
240	514	766
241	517	765
242	519	762
243	520	759
244	522	757
245	524	754
246	526	752
247	528	750
248	531	749
249	533	746
250	535	744
251	537	742
252	539	739
253	541	737
254	544	736
255	546	733
256	547	731
257	549	728
258	551	726
259	553	723
260	555	720
261	557	719
262	559	717
263	561	714
264	563	712
265	565	710
266	567	708
267	569	705
268	571	703
269	574	701
270	576	699
271	578	697
272	580	695
273	582	692
274	584	690
275	586	688
276	588	685
277	590	684
278	592	681
279	594	679
280	596	677
281	598	675
282	600	672
283	602	670
284	604	668
285	607	666
286	609	664
287	611	662
288	612	659
289	614	657
290	616	654
291	618	652
292	620	650
293	623	648
294	625	646
295	627	644
296	629	641
297	631	639
298	633	637
299	634	634
300	637	632
301	639	631
302	641	629
303	643	626
304	645	624
305	647	622
306	649	619
307	651	617
308	653	615
309	655	613
310	658	611
311	660	609
312	662	607
313	664	604
314	666	602
315	668	600
316	670	598
317	673	597
318	675	595
319	677	592
320	679	590
321	681	588
322	683	586
323	685	584
324	688	582
325	690	580
326	692	577
327	694	575
328	696	573
329	698	571
330	700	569
331	703	567
332	705	565
333	707	563
334	709	561
335	711	559
336	714	557
337	716	555
338	718	552
339	719	550
340	721	548
341	723	545
342	725	543
343	727	541
344	729	539
345	732	537
346	734	535
347	736	533
348	738	530
349	740	528
350	741	526
351	744	524
352	746	522
353	748	520
354	751	518
355	753	516
356	755	514
357	758	512
358	760	510
359	762	508
360	764	506
361	767	504
362	769	502
363	772	500
364	774	498
365	777	496
366	779	494
367	781	492
368	784	491
369	786	489
370	788	486
371	791	484
372	793	483
373	796	481
374	798	479
375	801	477
376	803	475
377	805	473
378	808	471
379	810	469
380	812	467
381	814	465
382	816	462
383	818	460
384	820	458
385	822	455
386	824	453
387	826	451
388	828	449
389	830	447
390	832	444
391	834	442
392	835	440
393	837	437
394	839	435
395	842	433
396	844	431
397	846	429
398	848	427
399	850	425
400	852	423
401	854	420
402	857	419
403	859	416
404	861	414
405	863	412
406	865	410
407	867	408
408	869	405
409	871	403
410	873	401
411	876	399
412	878	397
413	880	395
414	882	393
415	884	391
416	886	388
417	888	387
418	891	384
419	893	382
420	894	380
421	896	378
422	898	376
423	900	373
424	902	371
425	905	369
426	907	367
427	909	365
428	911	363
429	913	360
430	915	358
431	917	356
432	919	354
433	921	352
434	923	350
435	925	348
436	927	345
437	929	343
438	931	341
439	933	339
440	936	337
441	938	335
442	940	333
443	942	331
444	944	329
445	946	326
446	948	324
447	950	322
448	953	320
449	955	318
450	957	316
451	959	314
452	961	311
453	963	309
454	965	307
455	967	305
456	970	303
457	971	301
458	973	299
459	976	297
460	978	294
461	980	292
462	982	290
463	984	288
464	986	286
465	988	284
466	990	282
467	992	280
468	994	277
469	997	275
470	999	273
471	1001	271
472	1004	269
473	1006	267
474	1007	265
475	1009	263
476	1011	260
477	1013	258
478	1015	256
479	1018	254
480	1020	252
481	1022	250
482	1024	248
483	1026	245
484	1027	243
485	1029	241
486	1032	239
487	1034	237
488	1035	235
489	1037	232
490	1040	230
491	1041	228
492	1044	226
493	1046	224
494	1048	222
495	1050	220
496	1053	218
497	1055	216
498	1057	214
499	1059	211
500	1061	209
501	1064	207
502	1066	205
503	1068	203
504	1069	201
505	1071	199
506	1074	197
507	1075	194
508	1078	192
509	1080	190
510	1082	188
511	1084	186
512	1086	184
513	1088	182
514	1090	180
515	1092	177
516	1093	175
517	1096	173
518	1098	171
519	1100	169
520	1102	167
521	1104	165
522	1106	162
523	1108	160
524	1110	158
525	1113	156
526	1115	154
527	1116	152
528	1118	150
529	1120	148
530	1122	145
531	1124	143
532	1126	141
533	1129	139
534	1130	137
535	1133	135
536	1135	133
537	1136	131
538	1139	128
539	1141	126
540	1143	124
541	1146	122
542	1148	120
543	1150	118
544	1152	116
545	1153	114
546	1155	111
547	1157	109
548	1160	107
549	1162	105
550	1164	103
551	1167	101
552	1169	99
553	1170	97
554	1172	95
555	1175	92
556	1177	90
557	1179	88
558	1182	86
559	1183	84
560	1186	82
561	1188	80
562	1191	78
563	1193	76
564	1195	74
565	1197	71
566	1199	69
567	1201	67
568	1204	65
569	1207	63
570	1209	61
571	1211	59
572	1213	57
573	1215	55
574	1218	52
575	1221	50
576	1223	48
577	1225	46
578	1228	44
579	1230	42
580	1232	40
581	1234	38
582	1237	36
583	1239	33
584	1242	31
585	1244	29
586	1246	27
587	1248	25
588	1250	23
589	1252	21
590	1254	19
591	1256	16
592	1258	14
593	1260	12
594	1262	10
595	1264	8
596	1265	6
597	1267	4
598	1270	2
599	1272	0
