date,drug_category,actual_sales,p10_demand,p50_demand,p90_demand,uncertainty_band,safety_stock,reorder_point,target_stock_lvl,simulated_inventory,stockout_risk,overstock_risk,replenishment_recommendation,recommended_order_qty,order_trigger
2019-01-01,M01AB,0.0,0.77,5.07,15.07,14.3,17.32,32.53,62.53,62.53,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-01-02,M01AB,5.33,0.65,4.62,16.08,15.43,19.85,33.71,68.09,62.53,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-01-03,M01AB,4.33,2.9,4.78,15.22,12.32,18.08,32.42,63.74,57.2,0,0,INCREASE REPLENISHMENT,1.0,PROACTIVE (Forward Shortfall)
2019-01-04,M01AB,7.0,3.39,5.15,15.46,12.07,17.86,33.31,64.24,52.87,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-01-05,M01AB,8.01,3.48,6.07,14.17,10.69,14.03,32.24,56.54,51.87,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-01-06,M01AB,8.33,3.28,5.49,13.97,10.69,14.69,31.16,56.6,44.86,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-01-07,M01AB,0.0,0.92,5.04,14.0,13.08,15.52,30.64,57.52,41.53,0,0,INCREASE REPLENISHMENT,9.0,PROACTIVE (Forward Shortfall)
2019-01-08,M01AB,4.34,2.82,5.1,15.29,12.47,17.65,32.95,63.52,41.53,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-01-09,M01AB,3.0,2.87,5.01,13.7,10.83,15.05,30.08,56.15,44.19,0,0,MAINTAIN REPLENISHMENT,0.0,PIPELINE IN-TRANSIT SUFFICIENT
2019-01-10,M01AB,8.0,2.88,5.03,14.02,11.14,15.57,30.66,57.63,50.19,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-01-11,M01AB,5.33,3.08,5.05,14.46,11.38,16.3,31.45,59.68,48.19,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-01-12,M01AB,6.66,2.78,5.78,15.03,12.25,16.02,33.36,61.11,42.86,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-01-13,M01AB,8.33,2.77,5.4,14.28,11.51,15.38,31.58,58.22,38.2,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-01-14,M01AB,9.0,2.64,5.22,14.1,11.46,15.38,31.04,57.68,39.87,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-01-15,M01AB,4.33,3.2,5.26,12.47,9.27,12.49,28.27,49.9,37.87,0,0,INCREASE REPLENISHMENT,2.0,PROACTIVE (Forward Shortfall)
2019-01-16,M01AB,7.5,3.4,5.13,12.35,8.95,12.51,27.9,49.56,37.54,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-01-17,M01AB,5.34,3.55,4.94,12.0,8.45,12.23,27.05,48.23,37.04,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-01-18,M01AB,6.33,3.31,5.02,11.89,8.58,11.9,26.96,47.57,33.7,0,0,INCREASE REPLENISHMENT,4.0,PROACTIVE (Forward Shortfall)
2019-01-19,M01AB,7.02,4.08,5.85,13.16,9.08,12.66,30.21,52.14,31.37,0,0,INCREASE REPLENISHMENT,11.0,PROACTIVE (Forward Shortfall)
2019-01-20,M01AB,11.67,3.69,5.38,12.01,8.32,11.48,27.62,47.51,30.35,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-01-21,M01AB,4.34,2.93,5.18,12.86,9.93,13.3,28.84,51.88,22.68,1,0,INCREASE REPLENISHMENT,16.0,REACTIVE (Below ROP)
2019-01-22,M01AB,6.83,3.07,5.28,13.19,10.12,13.7,29.54,53.27,29.34,1,0,INCREASE REPLENISHMENT,5.0,REACTIVE (Below ROP)
2019-01-23,M01AB,3.33,3.33,4.85,12.26,8.93,12.83,27.38,49.61,25.51,1,0,INCREASE REPLENISHMENT,4.0,REACTIVE (Below ROP)
2019-01-24,M01AB,4.0,3.44,5.04,13.29,9.85,14.29,29.41,54.16,38.18,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-01-25,M01AB,2.33,2.79,4.98,13.54,10.75,14.83,29.77,55.45,39.18,0,0,INCREASE REPLENISHMENT,6.0,PROACTIVE (Forward Shortfall)
2019-01-26,M01AB,7.0,3.32,5.56,14.95,11.63,16.26,32.94,61.11,40.85,0,0,INCREASE REPLENISHMENT,8.0,PROACTIVE (Forward Shortfall)
2019-01-27,M01AB,10.52,2.85,5.48,14.87,12.02,16.26,32.7,60.87,40.85,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-01-28,M01AB,8.5,2.65,5.14,13.7,11.05,14.83,30.25,55.93,36.33,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-01-29,M01AB,5.0,2.65,5.1,14.02,11.37,15.45,30.75,57.51,35.83,0,0,INCREASE REPLENISHMENT,10.0,PROACTIVE (Forward Shortfall)
2019-01-30,M01AB,6.33,2.64,5.04,13.97,11.33,15.47,30.59,57.38,37.83,0,0,INCREASE REPLENISHMENT,5.0,PROACTIVE (Forward Shortfall)
2019-01-31,M01AB,1.67,2.94,4.56,13.01,10.07,14.64,28.32,53.67,36.5,0,0,INCREASE REPLENISHMENT,3.0,PROACTIVE (Forward Shortfall)
2019-02-01,M01AB,11.34,2.85,4.97,14.4,11.55,16.33,31.24,59.53,44.83,0,0,INCREASE REPLENISHMENT,7.0,PROACTIVE (Forward Shortfall)
2019-02-02,M01AB,13.34,3.15,5.61,15.34,12.19,16.85,33.68,62.87,38.49,0,0,INCREASE REPLENISHMENT,15.0,PROACTIVE (Forward Shortfall)
2019-02-03,M01AB,6.0,2.53,5.75,17.17,14.64,19.78,37.03,71.29,28.15,1,0,INCREASE REPLENISHMENT,22.0,REACTIVE (Below ROP)
